Model,MAE,RMSE,R2,Validation_Type,Train_Assets,Test_Assets,Train_Asset_Count,Test_Asset_Count,Features
Random Forest Regressor,20.52,38.62,0.778,Asset-based split,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23","24, 25, 26, 27, 28, 29",24,6,"RMS, Peak_to_Peak, Crest_Factor, Kurtosis, Amp_1x, Fault_Energy, RMS_change, Kurtosis_change, FaultEnergy_change, RMS_roll5, Kurtosis_roll5, FaultEnergy_roll5"
Gradient Boosting Regressor,21.85,38.92,0.774,Asset-based split,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23","24, 25, 26, 27, 28, 29",24,6,"RMS, Peak_to_Peak, Crest_Factor, Kurtosis, Amp_1x, Fault_Energy, RMS_change, Kurtosis_change, FaultEnergy_change, RMS_roll5, Kurtosis_roll5, FaultEnergy_roll5"
Linear Regression,33.21,46.24,0.682,Asset-based split,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23","24, 25, 26, 27, 28, 29",24,6,"RMS, Peak_to_Peak, Crest_Factor, Kurtosis, Amp_1x, Fault_Energy, RMS_change, Kurtosis_change, FaultEnergy_change, RMS_roll5, Kurtosis_roll5, FaultEnergy_roll5"
